listing_id,name,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,city,latitude,longitude,property_type,room_type,accommodates,bedrooms,amenities,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable
16879591,Studio de standing proche BTS et shopping malls,112535167,42756,"Paris, Ile-de-France, France",,,,f,1,t,f,Vadhana,Bangkok,13.71756,100.59014,Entire apartment,Entire place,3,1,"Cable TV, Air conditioning, Pool, Shampoo, Dedicated workspace, Elevator, Wifi, TV, Smoke alarm, Long term stays allowed, Kitchen, Washer, Hair dryer, Gym, Hangers, Carbon monoxide alarm, Essentials",995,1,1125,100,10,10,10,10,10,9,t
6637650,Belleville Serviced Apartment,31073873,42106,"Bangkok, Thailand",,,0.87,f,1,t,f,Khlong Toei,Bangkok,13.72817,100.56314,Entire apartment,Entire place,2,1,"Air conditioning, Free parking on premises, Fire extinguisher, TV, Long term stays allowed, Kitchen, Washer, Essentials, Keypad, Hair dryer, Wifi",849,1,1125,93,10,10,10,10,9,9,f
6983626,Studio with Private Garden,31073873,42106,"Bangkok, Thailand",,,0.87,f,1,t,f,Khlong Toei,Bangkok,13.72662,100.56487,Entire apartment,Entire place,2,1,"Air conditioning, Shampoo, Dedicated workspace, Wifi, Free parking on premises, Fire extinguisher, Iron, TV, Long term stays allowed, Keypad, Washer, Hair dryer, Hangers, Essentials",800,1,1125,96,10,10,10,10,9,9,f
5475798,Simply space but extraordinary rest,28397829,42061,"Bangkok, Thailand",,,0.75,t,1,t,t,Rat Burana,Bangkok,13.67722,100.51791,Entire apartment,Entire place,2,1,"Air conditioning, Dedicated workspace, Elevator, Microwave, Refrigerator, TV, Smoke alarm, Long term stays allowed, Kitchen, Shampoo, Dishes and silverware, Gym, Hangers, Wifi",500,3,1125,98,10,10,10,10,10,10,f
11777946,"Top Class Spacious Studio @ Central, BTS Asok!",50773804,42345,Singapore,,,0.5,f,1,t,t,Khlong Toei,Bangkok,13.73364,100.56384,Entire apartment,Entire place,2,1,"Air conditioning, Refrigerator, Iron, Hair dryer, Hangers, Luggage dropoff allowed, Hot water, TV, Smoke alarm, Long term stays allowed, Gym, Carbon monoxide alarm, Wifi, Bathtub, Free parking on premises, Fire extinguisher, Shampoo, Essentials, Cable TV, Pool, Dedicated workspace, Elevator, Washer",931,2,1125,89,10,9,10,10,10,9,f
12047672,1BR INFINITY POOL HIPSTERHOOD,9252797,41553,"Bangkok, Thailand",,,0.5,t,1,t,t,Vadhana,Bangkok,13.72996,100.58875,Entire apartment,Entire place,3,1,"Air conditioning, Patio or balcony, Refrigerator, Iron, Hair dryer, Dishes and silverware, Hangers, Luggage dropoff allowed, Lockbox, Cooking basics, Ethernet connection, Bed linens, Hot water, TV, Smoke alarm, Long term stays allowed, Gym, Carbon monoxide alarm, Wifi, Extra pillows and blankets, Stove, Free parking on premises, Coffee maker, Fire extinguisher, Shampoo, Essentials, First aid kit, Cable TV, Dryer, Pool, Dedicated workspace, Elevator, Microwave, Kitchen, Washer",1499,30,1125,95,10,10,10,10,10,10,f
28519752,Minimal Airport Condo 24hrs Check-In +Train,215258259,43356,TH,,,0.5,f,1,t,f,Lat Krabang,Bangkok,13.73709,100.74474,Entire apartment,Entire place,3,1,"Extra pillows and blankets, Cable TV, Air conditioning, Dryer, Wifi, Bed linens, Free parking on premises, Hot water, Fire extinguisher, TV, Smoke alarm, Long term stays allowed, Kitchen, Washer, Hair dryer, Indoor fireplace, Heating, Hangers, Carbon monoxide alarm, Essentials",600,1,1125,100,10,10,10,10,10,10,f
4252695,Modern/Cozy 1BR Apt downtown BKK,22069649,41915,"Bangkok, Thailand",,,0,f,1,t,f,Vadhana,Bangkok,13.74344,100.5718,Entire apartment,Entire place,2,1,"Cable TV, Air conditioning, Dryer, Pool, Elevator, Free parking on premises, Fire extinguisher, TV, Hot tub, Smoke alarm, Long term stays allowed, Kitchen, Washer, Gym",2068,1,1125,92,10,10,10,10,9,9,f
5165540,Luxury Apt at Bangkok CBD nice area,26424087,42024,Bangkok/TH,,,0,f,1,t,t,Sathon,Bangkok,13.72234,100.53291,Entire apartment,Entire place,2,1,"Air conditioning, Pool, Elevator, Free parking on premises, Fire extinguisher, TV, Smoke alarm, Long term stays allowed, Kitchen, Washer, Essentials, Gym, Wifi",1590,4,1125,93,9,9,10,9,10,9,f
13923457,"1BR Rooftop Garden+Gym+Pool Bangkok, 2 mins to MRT",37790034,42192,"Bangkok, Thailand",,,0,f,1,t,t,Bang Sue,Bangkok,13.83089,100.52606,Entire apartment,Entire place,2,1,"Air conditioning, Iron, Hair dryer, Dishes and silverware, Hangers, Luggage dropoff allowed, Lockbox, Bed linens, Window guards, Hot water, TV, Smoke alarm, Long term stays allowed, Babysitter recommendations, Gym, Childrenâs books and toys, Carbon monoxide alarm, Wifi, Free parking on premises, Fire extinguisher, Shampoo, Essentials, First aid kit, Cable TV, Dryer, Pool, Dedicated workspace, Elevator, Microwave, Kitchen, Washer",2000,1,1125,89,9,9,9,10,9,9,f
21099384,"356 D CondoSathu49, Bangkok (Rama3-Sathorn-Nonsri)",65989259,42466,"Bangkok, Thailand",,,0,f,1,t,f,Yan na wa,Bangkok,13.68226,100.53787,Entire apartment,Entire place,2,1,"Air conditioning, Dryer, Pool, Dedicated workspace, Elevator, Microwave, Free parking on premises, Fire extinguisher, Iron, Host greets you, Smoke alarm, Dishes and silverware, Kitchen, Washer, Hair dryer, Gym, Long term stays allowed, Hangers",600,90,1125,100,10,10,10,10,10,10,f
4412914,Stunning 2 Bedroom Penthouse,19010551,41848,Bangkok,,,1,f,1,t,f,Vadhana,Bangkok,13.73537,100.58466,Entire apartment,Entire place,4,2,"Air conditioning, Refrigerator, Dishes and silverware, Hair dryer, Hangers, Cooking basics, Bed linens, Hot water, Paid parking on premises, TV, Long term stays allowed, Gym, Wifi, Extra pillows and blankets, Stove, Shampoo, Essentials, Cable TV, Pool, Dedicated workspace, Elevator, Microwave, Kitchen, Washer",2513,2,1125,92,9,9,10,9,9,9,f
1412787,"1BR with big balcony by the river, near IconSiam",7616231,41476,"Bangkok, Thailand",,,1,f,1,t,t,Khlong San,Bangkok,13.72298,100.50713,Entire apartment,Entire place,4,1,"Air conditioning, Patio or balcony, Refrigerator, Iron, Hair dryer, Dishes and silverware, Hangers, Luggage dropoff allowed, Lockbox, Cooking basics, Bed linens, Hot water, TV, Smoke alarm, Long term stays allowed, Gym, Wifi, Extra pillows and blankets, Stove, Free parking on premises, Fire extinguisher, Shampoo, Essentials, Cable TV, Dryer, Pool, Elevator, Microwave, Kitchen, Washer",1500,7,1125,94,9,9,9,9,9,9,f
24946484,MONO  BTS E9  blue ocean,68057844,42480,"Shanghai, Shanghai, China",,,1,f,1,t,t,Khlong Toei,Bangkok,13.70357,100.5933,Entire apartment,Entire place,2,1,"Air conditioning, Patio or balcony, Refrigerator, Iron, Hair dryer, Dishes and silverware, Hangers, Room-darkening shades, Cooking basics, Ethernet connection, Bed linens, Hot water, TV, Smoke alarm, Long term stays allowed, Gym, Wifi, Extra pillows and blankets, Stove, Free parking on premises, Keypad, Shampoo, Essentials, Cleaning before checkout, Heating, Cable TV, Pool, Dedicated workspace, Elevator, Microwave, Private entrance, Kitchen, Washer",500,28,1125,94,10,9,9,9,9,9,f
35289895,Prime area:  BTS-Ratchathewi+15mins to Siam Centre,98295312,42648,"New Territories, Hong Kong",,,1,f,1,t,f,Ratchathewi,Bangkok,13.74946,100.55066,Entire apartment,Entire place,3,1,"Air conditioning, Refrigerator, Dishes and silverware, Hair dryer, Hangers, Room-darkening shades, Cooking basics, Hot water, TV, Smoke alarm, Long term stays allowed, Gym, Dishwasher, Free parking on premises, Shampoo, Essentials, Dryer, Pool, Dedicated workspace, Elevator, Microwave, Host greets you, Private entrance, Kitchen, Washer",1680,7,1125,100,10,9,8,9,10,10,f
17688071,"Cozy apartment, Saphan Taksin BTS & Boat pier",85448609,42574,"Bangkok, Thailand",,,1,t,1,t,f,Sathon,Bangkok,13.71221,100.51356,Entire apartment,Entire place,2,1,"Air conditioning, Patio or balcony, Refrigerator, Dishes and silverware, Hair dryer, Hangers, Hot water, TV, Smoke alarm, Long term stays allowed, Gym, Wifi, Fire extinguisher, Shampoo, Smart lock, Essentials, Dryer, Dedicated workspace, Elevator, Microwave, Kitchen, Washer",1000,1,1125,95,10,10,9,10,9,9,t
10204853,NEW DECOR/ SWIMMING POOL VIEW / WiFi /NEAR STATION,51211129,42351,TH,,,1,f,1,t,t,Bang Kapi,Bangkok,13.74908,100.6082,Entire apartment,Entire place,2,1,"Air conditioning, Patio or balcony, Refrigerator, Hair dryer, Hangers, Cooking basics, Hot water, Paid parking on premises, TV, Smoke alarm, Long term stays allowed, Gym, Wifi, Stove, Shampoo, Essentials, Dryer, Pool, Dedicated workspace, Elevator, Microwave, Kitchen, Washer",721,1,1125,89,9,9,10,10,8,9,t
3794264,Sitara Place Serviced Apartment and Hotel,19484732,41856,"Bangkok, Thailand",,,1,f,1,t,f,Din Daeng,Bangkok,13.76537,100.56508,Entire apartment,Entire place,2,1,"Air conditioning, Refrigerator, Luggage dropoff allowed, Hot water, TV, Smoke alarm, Long term stays allowed, Gym, Wifi, Free parking on premises, Fire extinguisher, Building staff, Shampoo, Essentials, Washer, First aid kit, Cable TV, Dryer, Dedicated workspace, Elevator, Microwave, Kitchen, Shower gel",750,3,1125,97,10,10,10,10,9,10,t
16730788,New Room-5mins to MRT,19691239,41859,"Bangkok, Thailand",,,1,f,1,t,t,Din Daeng,Bangkok,13.77595,100.57085,Entire apartment,Entire place,2,1,"Air conditioning, Patio or balcony, Refrigerator, Iron, Dishes and silverware, Hair dryer, Hangers, Lockbox, Free street parking, Hot water, Smoke alarm, Long term stays allowed, Gym, Carbon monoxide alarm, Wifi, Free parking on premises, Shampoo, Essentials, Dryer, Pool, Dedicated workspace, Elevator, Microwave, Washer",800,5,1125,95,10,9,10,10,9,10,f
42371444,Nirvana3BR/33FL/Pool&Gym/5Mins to MRT/City Center,337035836,43879,TH,,,1,f,1,t,t,Huai Khwang,Bangkok,13.75622,100.57564,Entire apartment,Entire place,6,3,"Air conditioning, Pool, Shampoo, Wifi, Free parking on premises, Fire extinguisher, Iron, TV, Hot tub, Smoke alarm, Private entrance, Kitchen, Washer, Hair dryer, Gym, Long term stays allowed, Indoor fireplace, Heating, Hangers, Essentials",1800,90,1125,100,10,10,10,10,10,10,f
5885757,"New Condo , Ideo Mobi, Bangkok",28135799,42056,"Bangkok, Thailand",,,1,f,1,t,f,Khlong Toei,Bangkok,13.70505,100.60104,Entire apartment,Entire place,3,2,"Cable TV, Air conditioning, Pool, Elevator, TV, Hot tub, Smoke alarm, Long term stays allowed, Kitchen, Shampoo, Gym, Wifi",2000,2,1125,98,10,10,10,10,10,10,f
5480774,LIfe@Downtown+BTSChongnonsi+WIFI30Mbps+Netflix,2940438,41105,Thailand,,,1,t,1,t,f,Bang Rak,Bangkok,13.72285,100.52829,Entire apartment,Entire place,3,1,"Air conditioning, Patio or balcony, Refrigerator, Iron, Oven, Hair dryer, Dishes and silverware, Hangers, Lockbox, Room-darkening shades, Cooking basics, Ethernet connection, Bed linens, Hot water, TV, Garden or backyard, Smoke alarm, Long term stays allowed, Gym, Carbon monoxide alarm, Wifi, Hot water kettle, Bathtub, Stove, Free parking on premises, Coffee maker, Fire extinguisher, Single level home, Shampoo, Essentials, Cable TV, BBQ grill, Dryer, Pool, Dedicated workspace, Elevator, Microwave, Hot tub, Kitchen, Washer",1699,28,1125,96,10,10,10,10,10,9,f
43027616,Grand Rama9/mrt Rama9,342481214,43916,"Bangkok, Bangkok, Thailand",,,1,f,1,t,t,Huai Khwang,Bangkok,13.75917,100.57008,Entire apartment,Entire place,2,1,"Air conditioning, Iron, TV, Long term stays allowed, Kitchen, Shampoo, Essentials, Heating, Hangers",3720,1,1125,100,10,10,10,10,10,10,t
11809510,Reangsiri Apartment,62898216,42443,"Bangkok, Thailand",,,,f,1,t,f,Ratchathewi,Bangkok,13.75354,100.53083,Entire apartment,Entire place,1,8,"Cable TV, Air conditioning, Elevator, Fire extinguisher, TV, Smoke alarm, Long term stays allowed, Shampoo, Hangers, First aid kit, Wifi",699,1,1125,20,4,2,8,4,8,2,t
5185275,3BrPenthouseBTSphayathaiAirportLink,25154771,41997,"Bangkok, Thailand",,,,f,1,t,t,Ratchathewi,Bangkok,13.75475,100.53376,Entire apartment,Entire place,6,3,"Cable TV, Air conditioning, Dryer, Pool, Dedicated workspace, Elevator, Wifi, Free parking on premises, Iron, TV, Smoke alarm, Long term stays allowed, Kitchen, Shampoo, Hair dryer, Gym, Washer, Hangers, Essentials",8000,180,1125,93,10,10,9,10,10,9,f
24022521,THE HOME HUG 3BR/MRT/BIG MALL/POOL/SUPER MARKET,179888264,43181,TH,,,,f,1,t,t,Huai Khwang,Bangkok,13.76113,100.57033,Entire apartment,Entire place,8,3,"Air conditioning, Refrigerator, Iron, Dishes and silverware, Hair dryer, Hangers, Lockbox, Bed linens, Hot water, TV, Smoke alarm, Long term stays allowed, Gym, Wifi, Stove, Free parking on premises, Shampoo, Essentials, Cable TV, Pool, Elevator, Microwave, Kitchen, Washer",2900,1,1125,93,10,9,9,10,10,9,t
8944285,Siamese Gioia(3Bedrooms)Sukhumvit31,52144521,42362,Thailand,,,,f,1,t,t,Vadhana,Bangkok,13.74057,100.57243,Entire apartment,Entire place,5,3,"Air conditioning, Dryer, Pool, Shampoo, Dedicated workspace, Elevator, Wifi, TV, Hot tub, Long term stays allowed, Kitchen, Washer, Hair dryer, Gym, Hangers, Essentials",3800,1,1125,93,9,9,10,10,9,9,f
